species_name,Genus_name,decimalLongitude,decimalLatitude,countryCode,gbifID,family,taxonRank,year,basisOfRecord,datasetName,institutionCode,Lieform,Source,Endemic,,,,,Family ,Number of occurances of each family ,,,,,,,,,,,,,,,,,,,,,,,
Oenanthe aquatica,Oenanthe,78.473774000000006,30.382577999999999,IND,4954369574,Apiaceae,SPECIES,2024,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,Apiaceae,123,,Acanthaceae,427,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,78.081671999999998,30.317436000000001,IND,3998413273,Fabaceae,SPECIES,2022,HUMAN_OBSERVATION,NA,NA,,,No,,Fabaceae,1399,,Actinidiaceae,1,,,,,,,,,,,,,,,,,,,,,,Asteraceae,2137
Phyllodium pulchellum,Phyllodium,78.067346999999998,30.319462000000001,IND,3384633950,Fabaceae,SPECIES,2021,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,Orchidaceae,791,,Alismataceae,3,,,,,,,,,,,,,,,,,,,,,,Amaranthaceae,1372
Phyllodium pulchellum,Phyllodium,79.147696999999994,29.384281000000001,IND,3958205910,Fabaceae,SPECIES,2020,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Amaranthaceae,1372,,,,,,,,,,,,,,,,,,,,,,Poaceae,917
Phyllodium pulchellum,Phyllodium,80.737224999999995,28.451689999999999,IND,3958882915,Fabaceae,SPECIES,2020,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Amaryllidaceae,206,,,,,,,,,,,,,,,,,,,,,,Cyperaceae,782
Phyllodium pulchellum,Phyllodium,80.737223000000000,28.451694000000000,IND,3958340079,Fabaceae,SPECIES,2020,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Anacardiaceae,81,,,,,,,,,,,,,,,,,,,,,,Acanthaceae,427
Phyllodium pulchellum,Phyllodium,84.258055999999996,27.533055999999998,NPL,574889000,Fabaceae,SPECIES,2004,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Annonaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,84.983056000000005,27.216667000000001,NPL,575002778,Fabaceae,SPECIES,2004,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Apiaceae,123,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,87.244721999999996,27.217222000000000,NPL,575024113,Fabaceae,SPECIES,2001,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Apocynaceae,433,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,77.943727999999993,30.227971000000000,IND,685748691,Fabaceae,SPECIES,1986,PRESERVED_SPECIMEN,NA,WII,,,No,,,,,Araceae,21,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,80.583332999999996,28.666667000000000,NPL,2828486039,Fabaceae,SPECIES,1966,PRESERVED_SPECIMEN,NA,CANB,,,No,,,,,Araliaceae,127,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,81.400000000000006,28.416667000000000,NPL,4521433299,Fabaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Arecaceae,39,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,87.933333000000005,26.766667000000002,NPL,4521433057,Fabaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Asparagaceae,72,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,84.500000000000000,27.566666999999999,NPL,4521433830,Fabaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Asphodelaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,84.966667000000001,27.216667000000001,NPL,4521434215,Fabaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Aspleniaceae,13,,,,,,,,,,,,,,,,,,,,,,,
Phyllodium pulchellum,Phyllodium,87.950000000000003,26.833333000000000,NPL,4521435415,Fabaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Asteraceae,2137,,,,,,,,,,,,,,,,,,,,,,,
Litsea gongshanensis,Litsea,95.329999999999998,29.329999999999998,CHN,4043470572,Lauraceae,SPECIES,1992,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Athyriaceae,118,,,,,,,,,,,,,,,,,,,,,,,
Litsea gongshanensis,Litsea,85.980000000000004,28.170000000000002,CHN,4043905631,Lauraceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Begoniaceae,87,,,,,,,,,,,,,,,,,,,,,,,
Pyrola asarifolia,Pyrola,89.747281999999998,27.489201999999999,BTN,3902313773,Ericaceae,SUBSPECIES,2022,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Berberidaceae,102,,,,,,,,,,,,,,,,,,,,,,,
Selaginella delicatula,Selaginella,91.799999999999997,26.199999999999999,IND,4520756253,Selaginellaceae,SPECIES,1960,PRESERVED_SPECIMEN,WELT Herbarium at Museum of New Zealand Te Papa Tongarewa,NMNZ,,,No,,,,,Bignoniaceae,59,,,,,,,,,,,,,,,,,,,,,,,
Asplenium aethiopicum,Asplenium,92.072079000000002,26.458251000000001,IND,2239548962,Aspleniaceae,SPECIES,1889,PRESERVED_SPECIMEN,Vascular plants,NY,,,No,,,,,Boraginaceae,241,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,92.168143999999998,27.348444000000001,IND,5133599217,Campanulaceae,SPECIES,2024,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Brassicaceae,123,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,90.739670000000004,27.571123000000000,BTN,3334777596,Campanulaceae,SPECIES,2019,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Burmanniaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,90.586899000000003,27.515999000000001,BTN,3334777801,Campanulaceae,SPECIES,2016,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Buxaceae,35,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,85.864722000000000,27.960000000000001,NPL,574886746,Campanulaceae,SPECIES,2011,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Calophyllaceae,61,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,94.724699999999999,29.778600000000001,CHN,3027998580,Campanulaceae,SPECIES,2006,MATERIAL_SAMPLE,NMNH Material Samples (USNM),US,,,No,,,,,Campanulaceae,146,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,86.795277999999996,27.834444000000001,NPL,574829154,Campanulaceae,SPECIES,2005,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Capparaceae,40,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,93.930000000000007,29.030000000000001,CHN,615305799,Campanulaceae,SPECIES,1994,PRESERVED_SPECIMEN,NA,GMBA,,,No,,,,,Caprifoliaceae,88,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,82.099999999999994,29.000000000000000,NPL,4042905603,Campanulaceae,SPECIES,1991,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Carlemanniaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,85.290000000000006,28.850000000000001,CHN,2417390671,Campanulaceae,SPECIES,1990,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Caryophyllaceae,81,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,95.000000000000000,29.579999999999998,CHN,615305829,Campanulaceae,SPECIES,1989,PRESERVED_SPECIMEN,NA,GMBA,,,No,,,,,Celastraceae,59,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,97.459999999999994,28.660000000000000,CHN,2417501009,Campanulaceae,SPECIES,1982,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Cibotiaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,88.900000000000006,27.480000000000000,CHN,2417314628,Campanulaceae,SPECIES,1981,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Colchicaceae,35,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,94.359999999999999,29.629999999999999,CHN,2417652364,Campanulaceae,SPECIES,1980,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Combretaceae,69,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,85.443810999999997,28.180795000000000,NPL,4920478121,Campanulaceae,SPECIES,1979,PRESERVED_SPECIMEN,NA,NHMTU,,,No,,,,,Commelinaceae,264,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,93.239999999999995,29.879999999999999,CHN,2417533351,Campanulaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Convolvulaceae,166,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,91.950000000000003,28.000000000000000,CHN,4043229129,Campanulaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,HNWP,,,No,,,,,Cordiaceae,21,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,94.219999999999999,29.219999999999999,CHN,4044560543,Campanulaceae,SPECIES,1974,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Crassulaceae,40,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,85.980000000000004,28.170000000000002,CHN,4043262791,Campanulaceae,SPECIES,1972,PRESERVED_SPECIMEN,NA,HNWP,,,No,,,,,Cucurbitaceae,215,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,97.466915999999998,28.661276000000001,CHN,1303827012,Campanulaceae,SPECIES,1935,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Cupressaceae,202,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,84.417342000000005,28.517631000000002,NPL,4920478486,Campanulaceae,SPECIES,1933,PRESERVED_SPECIMEN,NA,NHMTU,,,No,,,,,Cyperaceae,782,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,84.120000000000005,28.390000000000001,NPL,3042973709,Campanulaceae,SPECIES,NA,HUMAN_OBSERVATION,NA,"Kunming Institute of Bonty, Chinese Academy of Sciences",,,No,,,,,Cystopteridaceae,3,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,90.430000000000007,27.510000000000002,BTN,3042973705,Campanulaceae,SPECIES,NA,HUMAN_OBSERVATION,NA,"Kunming Institute of Bonty, Chinese Academy of Sciences",,,No,,,,,Daphniphyllaceae,24,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,88.629999999999995,27.730000000000000,IND,3042973702,Campanulaceae,SPECIES,NA,HUMAN_OBSERVATION,NA,"Kunming Institute of Bonty, Chinese Academy of Sciences",,,No,,,,,Davalliaceae,43,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,97.333332999999996,28.166667000000000,MMR,5058355736,Campanulaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,K,,,No,,,,,Dennstaedtiaceae,20,,,,,,,,,,,,,,,,,,,,,,,
Cyananthus inflatus,Cyananthus,88.450000000000003,27.550000000000001,IND,788749356,Campanulaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,LD,,,No,,,,,Dilleniaceae,62,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,89.408455000000004,26.860678000000000,BTN,3334778027,Lamiaceae,SPECIES,2016,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Dioscoreaceae,81,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,89.779242999999994,27.870646000000001,BTN,3334780618,Lamiaceae,SPECIES,2013,HUMAN_OBSERVATION,NA,NA,,,No,,,,,Dipentodontaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,95.329999999999998,29.320000000000000,CHN,2417421518,Lamiaceae,SPECIES,1983,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Diplaziopsidaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,82.218466000000006,29.276178999999999,NPL,4920478525,Lamiaceae,SPECIES,1982,PRESERVED_SPECIMEN,NA,NHMTU,,,No,,,,,Dipteridaceae,9,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,95.769999999999996,29.870000000000001,CHN,4044578605,Lamiaceae,SPECIES,1976,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Dryopteridaceae,70,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,97.469999999999999,28.670000000000002,CHN,4043365954,Lamiaceae,SPECIES,1976,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Ehretiaceae,45,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,81.170000000000002,30.300000000000001,CHN,4044656563,Lamiaceae,SPECIES,1976,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Elaeagnaceae,17,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,79.799999999999997,31.480000000000000,CHN,4044749180,Lamiaceae,SPECIES,1976,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Elaeocarpaceae,17,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,91.950000000000003,28.000000000000000,CHN,4045433014,Lamiaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Elatinaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,85.980000000000004,28.170000000000002,CHN,4043366524,Lamiaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Ericaceae,217,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,87.230000000000004,29.300000000000001,CHN,4043369849,Lamiaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Eriocaulaceae,13,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,92.579999999999998,29.149999999999999,CHN,4043366528,Lamiaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Erythropalaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,85.230000000000004,29.329999999999998,CHN,4044597711,Lamiaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Euphorbiaceae,249,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,95.329999999999998,29.329999999999998,CHN,4043285707,Lamiaceae,SPECIES,1974,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Fabaceae,1399,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,87.200000000000003,26.520000000000000,NPL,3046069687,Lamiaceae,SPECIES,1967,PRESERVED_SPECIMEN,NA,SMF,,,No,,,,,Fagaceae,53,,,,,,,,,,,,,,,,,,,,,,,
Achyrospermum densiflorum,Achyrospermum,95.750000000000000,28.083333000000000,IND,5072854154,Lamiaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,K,,,No,,,,,Gentianaceae,43,,,,,,,,,,,,,,,,,,,,,,,
Anemonastrum narcissiflorum,Anemonastrum,81.093333000000001,29.656389000000001,NPL,686953659,Ranunculaceae,SPECIES,2009,PRESERVED_SPECIMEN,Edinburgh (E) Herbarium Specimens,RBGE,,,No,,,,,Geraniaceae,23,,,,,,,,,,,,,,,,,,,,,,,
Polystichum scariosum,Polystichum,98.205275999999998,27.726897999999998,MMR,4512445122,Dryopteridaceae,SPECIES,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Gesneriaceae,34,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,95.052734000000001,29.345575000000000,CHN,4954406237,Polypodiaceae,SPECIES,2022,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Gleicheniaceae,30,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,95.148700000000005,29.307798999999999,CHN,4954730297,Polypodiaceae,SPECIES,2022,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Hamamelidaceae,19,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,95.008109000000005,29.348817000000000,CHN,4954690416,Polypodiaceae,SPECIES,2022,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Helwingiaceae,5,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,95.068346000000005,29.333836999999999,CHN,4954401184,Polypodiaceae,SPECIES,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Hydrangeaceae,74,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,95.050756000000007,29.390196000000000,CHN,4954767858,Polypodiaceae,SPECIES,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Hydrocharitaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Lepisorus mucronatus,Lepisorus,88.260000000000005,27.030000000000001,IND,4850323040,Polypodiaceae,SPECIES,1893,PRESERVED_SPECIMEN,NA,MU,,,No,,,,,Hypodematiaceae,11,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,90.130463000000006,27.736069000000001,BTN,3802659819,Ericaceae,SPECIES,2022,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Hypoxidaceae,10,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.162400000000005,27.753900000000002,NPL,1993743476,Ericaceae,SPECIES,2016,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Icacinaceae,1,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,95.329999999999998,29.320000000000000,CHN,2417427323,Ericaceae,SPECIES,1982,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Iteaceae,3,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,95.760000000000005,29.850000000000001,CHN,2417700446,Ericaceae,SPECIES,1982,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Juglandaceae,31,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.760000000000005,28.359999999999999,CHN,2417478202,Ericaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Lamiaceae,932,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,90.819999999999993,28.199999999999999,CHN,2417711959,Ericaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Lauraceae,247,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,91.950000000000003,28.000000000000000,CHN,4044009648,Ericaceae,SPECIES,1975,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Lecythidaceae,4,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.599999999999994,27.566666999999999,NPL,5054072183,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Linderniaceae,24,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.150000000000006,27.783332999999999,NPL,5054075633,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Lindsaeaceae,3,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.216667000000001,27.633333000000000,NPL,5054075696,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Loranthaceae,12,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.216667000000001,27.666667000000000,NPL,5054079506,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Lythraceae,134,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,87.900000000000006,27.516667000000002,NPL,5054084518,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,TI,,,No,,,,,Magnoliaceae,114,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,96.616667000000007,28.350000000000001,IND,5130215260,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,K,,,No,,,,,Malpighiaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium sikkimense,Vaccinium,97.400000000000006,28.133333000000000,MMR,5130241152,Ericaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,K,,,No,,,,,Malvaceae,380,,,,,,,,,,,,,,,,,,,,,,,
Cystopteris fragilis,Cystopteris,72.666403000000003,35.350968000000002,PAK,4162083706,Cystopteridaceae,SPECIES,2023,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,No,,,,,Mazaceae,97,,,,,,,,,,,,,,,,,,,,,,,
Meconopsis quintuplinervia,Meconopsis,88.900000000000006,27.480000000000000,CHN,4044791960,Papaveraceae,SPECIES,1960,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Melanthiaceae,108,,,,,,,,,,,,,,,,,,,,,,,
Adenophora capillaris,Adenophora,94.219999999999999,29.219999999999999,CHN,4043262857,Campanulaceae,SPECIES,1972,PRESERVED_SPECIMEN,NA,HNWP,,,No,,,,,Melastomataceae,120,,,,,,,,,,,,,,,,,,,,,,,
Adenophora capillaris,Adenophora,97.500000000000000,28.250000000000000,MMR,615259034,Campanulaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,GMBA,,,No,,,,,Meliaceae,106,,,,,,,,,,,,,,,,,,,,,,,
Adenophora capillaris,Adenophora,97.370000000000005,28.370000000000001,CHN,615259043,Campanulaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,GMBA,,,No,,,,,Menispermaceae,128,,,,,,,,,,,,,,,,,,,,,,,
Adenophora capillaris,Adenophora,94.780000000000001,29.670000000000002,CHN,615259045,Campanulaceae,SPECIES,NA,PRESERVED_SPECIMEN,NA,GMBA,,,No,,,,,Menyanthaceae,10,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,95.111500000000007,30.102300000000000,CHN,1317699062,Rosaceae,SPECIES,2009,PRESERVED_SPECIMEN,NMNH Extant Biology,US,,,No,,,,,Moraceae,52,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,95.109999999999999,30.100000000000001,CHN,3987188207,Rosaceae,SPECIES,2009,PRESERVED_SPECIMEN,NA,NA,,,No,,,,,Musaceae,3,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,95.769999999999996,29.870000000000001,CHN,4045136954,Rosaceae,SPECIES,2009,PRESERVED_SPECIMEN,NA,KUN,,,No,,,,,Myrtaceae,2,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,94.359999999999999,29.629999999999999,CHN,2417650852,Rosaceae,SPECIES,1990,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Nyctaginaceae,31,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,95.329999999999998,29.320000000000000,CHN,2417437059,Rosaceae,SPECIES,1982,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Oleaceae,131,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,97.459999999999994,28.660000000000000,CHN,2417493928,Rosaceae,SPECIES,1980,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Oleandraceae,27,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,95.760000000000005,29.850000000000001,CHN,2417700689,Rosaceae,SPECIES,1976,PRESERVED_SPECIMEN,NA,PE,,,No,,,,,Onagraceae,108,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,97.469999999999999,28.670000000000002,CHN,4043267693,Rosaceae,SPECIES,1973,PRESERVED_SPECIMEN,NA,HNWP,,,No,,,,,Ophioglossaceae,3,,,,,,,,,,,,,,,,,,,,,,,
Chaenomeles thibetica,Chaenomeles,94.219999999999999,29.219999999999999,CHN,4043245658,Rosaceae,SPECIES,1972,PRESERVED_SPECIMEN,NA,HNWP,,,No,,,,,Opiliaceae,1,,,,,,,,,,,,,,,,,,,,,,,
